plate_id,date,time,sampling_time,std_column,std_sp,std_unit,std_prep,std_conc,sample_dilution,extractant_column,extractant_sp,extractant_unit,extractant_conc,empty_column,wavelength,wait_min
NO3_TDN_01,26/08/2025,NA,t2,1,NO3,mg NO3- L-1,H2O,0-5-10-20-40-80-160-240,2x/1x,8,K2SO4,M,0.5,NA,540 nm,30 min
NO3_TDN_02,26/08/2025,NA,t2,1,NO3,mg NO3- L-1,H2O,0-5-10-20-40-80-160-240,2x/1x,8,K2SO4,M,0.5,NA,540 nm,30 min
NO3_TDN_03,26/08/2025,NA,t2,1,NO3,mg NO3- L-1,H2O,0-5-10-20-40-80-160-240,2x/1x,8,K2SO4,M,0.5,NA,540 nm,30 min
NO3_TDN_04,26/08/2025,NA,t2,1,NO3,mg NO3- L-1,H2O,0-5-10-20-40-80-160-240,2x/1x,8,K2SO4,M,0.5,NA,540 nm,30 min
NO3_TDN_05,26/08/2025,NA,t2,1,NO3,mg NO3- L-1,H2O,0-5-10-20-40-80-160-240,2x/1x,8,K2SO4,M,0.5,NA,540 nm,30 min
NO3_TDN_06,26/08/2025,NA,t2,1,NO3,mg NO3- L-1,H2O,0-5-10-20-40-80-160-240,2x/1x,8,K2SO4,M,0.5,NA,540 nm,30 min
NO3_TDN_07,28/08/2025,NA,t2,1,NO3,mg NO3- L-1,H2O,0-5-10-20-40-80-160-240,2x/1x,8,K2SO4,M,0.5,NA,540 nm,30 min
NO3_TDN_08,28/08/2025,NA,t2,1,NO3,mg NO3- L-1,H2O,0-5-10-20-40-80-160-240,2x/1x,8,K2SO4,M,0.5,NA,540 nm,30 min
NO3_TDN_09,15/09/2025,NA,t2,1,NO3,mg NO3- L-1,H2O,0-5-10-20-40-80-160-240,2x/1x,8,K2SO4,M,0.5,NA,540 nm,30 min
NO3_TDN_10,15/09/2025,NA,t2,1,NO3,mg NO3- L-1,H2O,0-5-10-20-40-80-160-240,2x/1x,8,K2SO4,M,0.5,NA,540 nm,30 min
NO3_TDN_11,15/09/2025,NA,t2,1,NO3,mg NO3- L-1,H2O,0-5-10-20-40-80-160-240,2x/1x,8,K2SO4,M,0.5,NA,540 nm,30 min
NO3_TDN_12,15/09/2025,NA,t2,1,NO3,mg NO3- L-1,H2O,0-5-10-20-40-80-160-240,2x/1x,8,K2SO4,M,0.5,NA,540 nm,30 min
NO3_TDN_13,18/09/2025,NA,t2,1,NO3,mg NO3- L-1,H2O,0-5-10-20-40-80-160-240,2x/1x,8,K2SO4,M,0.5,NA,540 nm,30 min
NO3_TDN_14,18/09/2025,NA,t2,1,NO3,mg NO3- L-1,H2O,0-5-10-20-40-80-160-240,2x/1x,8,K2SO4,M,0.5,NA,540 nm,30 min
NO3_TDN_15,18/09/2025,NA,t2,1,NO3,mg NO3- L-1,H2O,0-5-10-20-40-80-160-240,2x/1x,8,K2SO4,M,0.5,NA,540 nm,30 min
NO3_TDN_16,18/09/2025,NA,t2,1,NO3,mg NO3- L-1,H2O,0-5-10-20-40-80-160-240,2x/1x,8,K2SO4,M,0.5,NA,540 nm,30 min
NO3_TDN_17,09/10/2025,NA,t2,1,NO3,mg NO3- L-1,H2O,0-5-10-20-40-80-160-240,2x/1x,8,K2SO4,M,0.5,NA,540 nm,30 min
NO3_TDN_18,09/10/2025,NA,t2,1,NO3,mg NO3- L-1,H2O,0-5-10-20-40-80-160-240,2x/1x,8,K2SO4,M,0.5,NA,540 nm,30 min
NO3_TDN_19,09/10/2025,NA,t2,1,NO3,mg NO3- L-1,H2O,0-5-10-20-40-80-160-240,2x/1x,8,K2SO4,M,0.5,NA,540 nm,30 min
NO3_TDN_20,09/10/2025,NA,t2,1,NO3,mg NO3- L-1,H2O,0-5-10-20-40-80-160-240,2x/1x,8,K2SO4,M,0.5,NA,540 nm,30 min
NO3_TDN_21,11/10/2025,NA,t2,1,NO3,mg NO3- L-1,H2O,0-5-10-20-40-80-160-240,2x/1x,8,K2SO4,M,0.5,NA,540 nm,30 min
NO3_TDN_22,11/10/2025,NA,t2,1,NO3,mg NO3- L-1,H2O,0-5-10-20-40-80-160-240,2x/1x,8,K2SO4,M,0.5,NA,540 nm,30 min
NO3_TDN_23,11/10/2025,NA,t2,1,NO3,mg NO3- L-1,H2O,0-5-10-20-40-80-160-240,2x/1x,8,K2SO4,M,0.5,NA,540 nm,30 min
NO3_TDN_24,11/10/2025,NA,t2,1,NO3,mg NO3- L-1,H2O,0-5-10-20-40-80-160-240,2x/1x,8,K2SO4,M,0.5,NA,540 nm,30 min
NO3_TDN_25,16/10/2025,NA,t2,1,NO3,mg NO3- L-1,H2O,0-5-10-20-40-80-160-240,2x/1x,8,K2SO4,M,0.5,NA,540 nm,30 min
NO3_TDN_26,16/10/2025,NA,t2,1,NO3,mg NO3- L-1,H2O,0-5-10-20-40-80-160-240,2x/1x,8,K2SO4,M,0.5,NA,540 nm,30 min
NO3_TDN_27,16/10/2025,NA,t2,1,NO3,mg NO3- L-1,H2O,0-5-10-20-40-80-160-240,2x/1x,8,K2SO4,M,0.5,NA,540 nm,30 min
NO3_TDN_28,16/10/2025,NA,t2,1,NO3,mg NO3- L-1,H2O,0-5-10-20-40-80-160-240,2x/1x,8,K2SO4,M,0.5,NA,540 nm,30 min
NO3_TDN_29,17/10/2025,NA,t2,1,NO3,mg NO3- L-1,H2O,0-5-10-20-40-80-160-240,2x/1x,8,K2SO4,M,0.5,NA,540 nm,30 min
NO3_TDN_30,17/10/2025,NA,t2,1,NO3,mg NO3- L-1,H2O,0-5-10-20-40-80-160-240,2x/1x,8,K2SO4,M,0.5,NA,540 nm,30 min
NO3_TDN_31,17/10/2025,NA,t2,1,NO3,mg NO3- L-1,H2O,0-5-10-20-40-80-160-240,2x/1x,8,K2SO4,M,0.5,NA,540 nm,30 min
NO3_TDN_32,17/10/2025,NA,t2,1,NO3,mg NO3- L-1,H2O,0-5-10-20-40-80-160-240,2x/1x,8,K2SO4,M,0.5,NA,540 nm,30 min
