NO3_TDN_01,1,2,3,4,5,6,7,8,9,10,11,12
A,0.095,0.537,0.528,0.562,0.51,0.507,0.546,0.078,0.519,0.543,0.521,0.605
B,0.191,0.541,0.521,0.544,0.507,0.515,0.527,0.078,0.521,0.54,0.521,0.592
C,0.255,0.551,0.513,0.559,0.505,0.511,0.541,0.078,0.519,0.54,0.514,0.609
D,0.396,0.54,0.528,0.551,0.507,0.509,0.541,0.078,0.517,0.54,0.515,0.6
E,0.65,0.979,0.946,1.013,0.926,0.927,0.996,0.078,0.955,0.997,0.936,1.101
F,1.046,0.981,0.959,1,0.921,0.931,0.99,0.08,0.944,0.975,0.943,1.11
G,1.831,0.988,0.954,0.994,0.936,0.935,0.995,0.077,0.945,0.995,0.939,1.101
H,2.45,0.984,0.969,0.991,0.923,0.94,0.99,0.077,0.932,0.986,0.949,1.088
NO3_TDN_02,1,2,3,4,5,6,7,8,9,10,11,12
A,0.097,0.552,0.559,0.555,0.538,0.552,0.534,0.079,0.589,0.535,0.536,0.594
B,0.19,0.548,0.553,0.544,0.538,0.558,0.539,0.08,0.583,0.537,0.534,0.594
C,0.253,0.541,0.556,0.553,0.529,0.552,0.539,0.081,0.575,0.523,0.541,0.603
D,0.391,0.543,0.548,0.554,0.545,0.556,0.539,0.08,0.577,0.535,0.534,0.601
E,0.625,0.972,1.002,1.013,0.982,1.017,0.977,0.08,1.075,0.96,0.974,1.087
F,1.084,0.978,1.002,1.013,0.987,1.011,0.979,0.081,1.07,0.971,0.96,1.067
G,1.745,0.962,1.01,1.004,0.994,1.018,0.97,0.081,1.079,0.966,0.963,1.091
H,2.338,0.954,1,1.009,0.982,1.022,0.98,0.084,1.057,0.972,0.962,1.074
NO3_TDN_03,1,2,3,4,5,6,7,8,9,10,11,12
A,0.113,0.53,0.528,0.521,0.521,0.54,0.551,0.097,0.559,0.528,0.526,0.617
B,0.201,0.527,0.523,0.514,0.523,0.542,0.541,0.096,0.555,0.53,0.517,0.604
C,0.264,0.526,0.516,0.52,0.517,0.549,0.541,0.096,0.553,0.527,0.518,0.609
D,0.392,0.512,0.533,0.518,0.517,0.54,0.545,0.097,0.551,0.531,0.518,0.61
E,0.617,0.954,0.937,0.948,0.937,0.989,0.997,0.095,1.018,0.975,0.943,1.08
F,1.052,0.958,0.951,0.945,0.872,0.983,0.996,0.093,1.013,0.958,0.939,1.102
G,1.775,0.956,0.946,0.928,0.936,0.993,0.997,0.095,1.011,0.963,0.937,1.07
H,2.366,0.868,0.95,0.903,0.931,1.006,0.991,0.095,1.011,0.968,0.942,1.063
NO3_TDN_04,1,2,3,4,5,6,7,8,9,10,11,12
A,0.114,0.535,0.534,0.531,0.506,0.551,0.528,0.102,0.541,0.544,0.53,0.611
B,0.202,0.529,0.534,0.519,0.499,0.546,0.533,0.107,0.543,0.541,0.531,0.604
C,0.266,0.527,0.53,0.523,0.495,0.549,0.533,0.103,0.542,0.539,0.523,0.607
D,0.383,0.53,0.526,0.525,0.511,0.543,0.532,0.099,0.545,0.547,0.525,0.605
E,0.61,0.945,0.949,0.962,0.909,0.981,0.963,0.102,0.995,0.965,0.946,1.094
F,1.053,0.956,0.951,0.956,0.922,0.976,0.957,0.103,0.989,0.984,0.946,1.097
G,1.749,0.941,0.964,0.964,0.919,0.976,0.949,0.099,1.003,0.965,0.938,1.117
H,2.392,0.928,0.935,0.961,0.919,0.991,0.957,0.102,0.999,0.979,0.949,1.09
