Measurement results,,,,,,,,,,,,
MR_10_plates_template (1).skax,,,,,,,,,,,,
01/07/2024 16:22:41,,,,,,,,,,,,
 ,,,,,,,,,,,,
Absorbance 1,,,,,,,,,,,,
Wavelength: 570 nm,,,,,,,,,,,,
 ,,,,,,,,,,,,
M12,,,,,,,,,,,,
 ,,,,,,,,,,,,
Abs,1,2,3,4,5,6,7,8,9,10,11,12
A,1.4402,1.4802,1.4380,1.4752,1.5143,1.4927,1.5052,1.5293,1.5301,1.5228,1.5176,1.5332
B,1.4561,1.5242,1.5070,1.4953,1.5321,1.5652,1.5377,1.5350,1.5365,1.5443,1.5405,1.5402
C,1.5176,1.5411,1.5264,1.5332,1.5688,1.5436,1.5622,1.5761,1.5576,1.5599,1.5693,1.5517
D,1.5331,1.5515,1.5755,1.5251,1.5482,1.5601,1.5561,1.5632,1.5553,1.5693,1.5566,1.5739
E,1.5316,1.5564,1.5547,1.5350,1.5571,1.5514,1.5589,1.5552,1.5817,1.5692,1.5641,1.5578
F,1.5287,1.5727,1.5502,1.5304,1.5254,1.5617,1.5719,1.5859,1.5616,1.5539,1.5782,1.5512
G,1.5351,1.5594,1.5333,1.5373,1.5610,1.5540,1.5709,1.5556,1.5549,1.5659,1.5696,1.5778
H,1.4953,1.5438,1.5299,1.5161,1.5537,1.5550,1.5699,1.5754,1.5380,1.5687,1.5705,1.5892
,,,,,,,,,,,,
Sample,1,2,3,4,5,6,7,8,9,10,11,12
A,Std0001,Std0002,Std0003,Std0004,Std0005,Std0006,Std0007,Std0008,Std0009,Std0010,Std0011,Std0012
B,Std0013,Std0014,Std0015,Std0016,Std0017,Std0018,Std0019,Std0020,Std0021,Std0022,Std0023,Std0024
C,Std0025,Std0026,Std0027,Std0028,Std0029,Std0030,Std0031,Std0032,Std0033,Std0034,Std0035,Std0036
D,Std0037,Std0038,Std0039,Std0040,Std0041,Std0042,Std0043,Std0044,Std0045,Std0046,Std0047,Std0048
E,Std0049,Std0050,Std0051,Std0052,Std0053,Std0054,Std0055,Std0056,Std0057,Std0058,Std0059,Std0060
F,Std0061,Std0062,Std0063,Std0064,Std0065,Std0066,Std0067,Std0068,Std0069,Std0070,Std0071,Std0072
G,Std0073,Std0074,Std0075,Std0076,Std0077,Std0078,Std0079,Std0080,Std0081,Std0082,Std0083,Std0084
H,Std0085,Std0086,Std0087,Std0088,Std0089,Std0090,Std0091,Std0092,Std0093,Std0094,Std0095,Std0096
,,,,,,,,,,,,
,,,,,,,,,,,,
Wavelength: 570 nm,,,,,,,,,,,,
 ,,,,,,,,,,,,
M16,,,,,,,,,,,,
 ,,,,,,,,,,,,
Abs,1,2,3,4,5,6,7,8,9,10,11,12
A,1.5789,1.5590,1.5446,1.5414,1.6169,1.5561,1.5608,1.5882,1.6060,1.5773,1.5159,1.5862
B,1.6099,1.6233,1.6236,1.5730,1.6371,1.6269,1.6255,1.5981,1.6407,1.6334,1.6245,1.6403
C,1.6341,1.6514,1.6369,1.6474,1.6645,1.6551,1.6562,1.6751,1.6616,1.6673,1.6538,1.6826
D,1.6447,1.6410,1.6570,1.6707,1.6638,1.6764,1.6582,1.6656,1.6616,1.6548,1.6470,1.6592
E,1.6470,1.6662,1.6589,1.6510,1.6667,1.6817,1.6761,1.6743,1.6710,1.6375,1.6574,1.6634
F,1.6539,1.6797,1.6571,1.6509,1.6778,1.6855,1.6644,1.6643,1.6633,1.6053,1.6375,1.6632
G,1.6423,1.6719,1.6470,1.6684,1.6577,1.4925,1.6557,1.6405,1.6793,1.6446,1.6300,1.6596
H,1.6620,1.6501,1.6411,1.6377,1.6541,1.6646,1.6501,1.6388,1.6640,1.6526,1.6516,1.6616
,,,,,,,,,,,,
Sample,1,2,3,4,5,6,7,8,9,10,11,12
A,Std0097,Std0098,Std0099,Std0100,Std0101,Std0102,Std0103,Std0104,Std0105,Std0106,Std0107,Std0108
B,Std0109,Std0110,Std0111,Std0112,Std0113,Std0114,Std0115,Std0116,Std0117,Std0118,Std0119,Std0120
